Latitude (decimal degrees):	12.307
Longitude (decimal degrees):	76.650
Elevation (m):	756
Radiation database:	PVGIS-ERA5


Slope: 0 deg. 
Azimuth: 0 deg. 
Nominal power of the PV system (c-Si) (kWp):	1.0
System losses (%):	14.0
time,P,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20230330:1430,0.0,0.0,0.0,0.0,0.0,28.33,1.1,0.0
20230330:1530,0.0,0.0,0.0,0.0,0.0,27.08,1.24,0.0
20230330:1630,0.0,0.0,0.0,0.0,0.0,26.52,1.31,0.0
20230330:1730,0.0,0.0,0.0,0.0,0.0,25.66,1.93,0.0
20230330:1830,0.0,0.0,0.0,0.0,0.0,24.78,2.34,0.0
20230330:1930,0.0,0.0,0.0,0.0,0.0,24.67,1.79,0.0
20230330:2030,0.0,0.0,0.0,0.0,0.0,24.02,2.0,0.0
20230330:2130,0.0,0.0,0.0,0.0,0.0,23.3,2.07,0.0
20230330:2230,0.0,0.0,0.0,0.0,0.0,22.96,2.14,0.0
20230330:2330,0.0,0.0,0.0,0.0,0.0,22.7,2.14,0.0
20230331:0030,0.0,0.0,0.0,0.0,-5.96,22.34,2.07,0.0
20230331:0130,41.0,44.4,38.0,0.0,8.65,22.03,2.0,0.0
20230331:0230,227.12,208.55,95.3,0.0,23.31,22.81,2.14,0.0
20230331:0330,435.25,432.25,129.7,0.0,37.95,25.14,1.93,0.0
20230331:0430,587.96,647.4,133.85,0.0,52.5,27.85,1.72,0.0
20230331:0530,674.75,782.25,143.85,0.0,66.74,30.16,1.59,0.0
20230331:0630,602.61,655.4,173.3,0.0,79.29,32.03,1.24,0.0
20230331:0730,580.14,617.2,182.9,0.0,78.67,32.82,1.1,0.0
20230331:0830,612.31,713.6,139.65,0.0,65.88,33.26,1.03,0.0
20230331:0930,502.2,562.4,125.95,0.0,51.6,33.81,0.9,0.0
20230331:1030,284.82,279.3,107.55,0.0,37.04,33.94,0.69,0.0
20230331:1130,115.21,105.3,66.75,0.0,22.4,33.18,0.55,0.0
20230331:1230,6.89,4.55,17.4,0.0,7.75,32.73,0.41,0.0
20230331:1330,0.0,0.0,0.0,0.0,0.0,32.03,0.62,0.0
20230331:1430,0.0,0.0,0.0,0.0,0.0,30.72,1.31,0.0
20230331:1530,0.0,0.0,0.0,0.0,0.0,29.35,2.07,0.0
20230331:1630,0.0,0.0,0.0,0.0,0.0,28.06,2.62,0.0
20230331:1730,0.0,0.0,0.0,0.0,0.0,26.71,2.83,0.0
20230331:1830,0.0,0.0,0.0,0.0,0.0,25.72,2.62,0.0
20230331:1930,0.0,0.0,0.0,0.0,0.0,24.84,2.41,0.0
20230331:2030,0.0,0.0,0.0,0.0,0.0,24.22,2.14,0.0
20230331:2130,0.0,0.0,0.0,0.0,0.0,23.68,1.72,0.0
20230331:2230,0.0,0.0,0.0,0.0,0.0,23.03,1.52,0.0
20230331:2330,0.0,0.0,0.0,0.0,0.0,22.14,1.24,0.0
20230401:0030,0.0,0.0,0.0,0.0,-5.8,21.48,1.1,0.0
20230401:0130,50.69,55.95,42.3,0.0,8.81,21.21,0.97,0.0
20230401:0230,236.14,223.05,94.6,0.0,23.46,22.68,0.69,0.0
20230401:0330,428.78,448.6,114.75,0.0,38.1,25.93,0.69,0.0
20230401:0430,542.07,587.55,141.65,0.0,52.67,28.52,0.76,0.0
20230401:0530,565.79,600.55,174.5,0.0,66.96,30.4,0.62,0.0
20230401:0630,509.24,514.9,178.95,0.0,79.64,31.44,0.55,0.0
20230401:0730,504.69,489.1,201.4,0.0,78.9,31.84,0.48,0.0
20230401:0830,490.03,522.95,144.95,0.0,65.94,32.41,0.55,0.0
20230401:0930,474.27,480.8,165.15,0.0,51.62,32.77,0.76,0.0
20230401:1030,349.27,354.95,118.4,0.0,37.05,33.1,0.69,0.0
20230401:1130,161.55,149.05,84.9,0.0,22.4,33.09,0.69,0.0
20230401:1230,23.89,29.35,28.4,0.0,7.75,32.8,1.03,0.0
20230401:1330,0.0,0.0,0.0,0.0,0.0,31.52,1.79,0.0
20230401:1430,0.0,0.0,0.0,0.0,0.0,29.66,2.76,0.0
20230401:1530,0.0,0.0,0.0,0.0,0.0,27.9,2.97,0.0
20230401:1630,0.0,0.0,0.0,0.0,0.0,26.52,2.9,0.0
20230401:1730,0.0,0.0,0.0,0.0,0.0,25.4,2.55,0.0
20230401:1830,0.0,0.0,0.0,0.0,0.0,24.59,2.34,0.0
20230401:1930,0.0,0.0,0.0,0.0,0.0,24.07,2.21,0.0
20230401:2030,0.0,0.0,0.0,0.0,0.0,23.55,2.07,0.0
20230401:2130,0.0,0.0,0.0,0.0,0.0,22.98,2.0,0.0
20230401:2230,0.0,0.0,0.0,0.0,0.0,22.49,1.93,0.0
20230401:2330,0.0,0.0,0.0,0.0,0.0,22.02,1.86,0.0
20230402:0030,0.0,0.0,0.0,0.0,-5.64,21.57,1.86,0.0
20230402:0130,46.97,47.15,43.0,0.0,8.97,21.26,1.66,0.0
20230402:0230,247.05,233.85,95.15,0.0,23.61,22.22,1.59,0.0
20230402:0330,432.82,435.65,122.45,0.0,38.26,24.81,1.79,0.0
20230402:0430,594.01,654.4,132.85,0.0,52.84,27.41,1.79,0.0
20230402:0530,685.63,799.6,142.9,0.0,67.17,29.74,1.52,0.0
20230402:0630,666.58,752.2,179.75,0.0,79.98,31.58,1.1,0.0
20230402:0730,643.0,731.0,166.3,0.0,79.11,32.39,1.1,0.0
20230402:0830,611.26,688.8,165.0,0.0,66.0,33.23,0.97,0.0
20230402:0930,430.06,427.5,155.75,0.0,51.64,33.75,0.9,0.0
20230402:1030,369.85,380.45,121.8,0.0,37.05,33.46,0.83,0.0
20230402:1130,160.66,156.5,76.6,0.0,22.4,33.49,1.1,0.0
20230402:1230,28.65,39.0,29.35,0.0,7.76,33.18,0.9,0.0
20230402:1330,0.0,0.0,0.0,0.0,0.0,32.14,1.59,0.0
20230402:1430,0.0,0.0,0.0,0.0,0.0,29.51,3.52,0.0
20230402:1530,0.0,0.0,0.0,0.0,0.0,26.93,4.41,0.0
20230402:1630,0.0,0.0,0.0,0.0,0.0,25.27,4.07,0.0
20230402:1730,0.0,0.0,0.0,0.0,0.0,24.32,3.17,0.0
20230402:1830,0.0,0.0,0.0,0.0,0.0,23.73,2.62,0.0
20230402:1930,0.0,0.0,0.0,0.0,0.0,23.18,2.07,0.0
20230402:2030,0.0,0.0,0.0,0.0,0.0,22.66,1.86,0.0
20230402:2130,0.0,0.0,0.0,0.0,0.0,22.08,1.66,0.0
20230402:2230,0.0,0.0,0.0,0.0,0.0,21.58,1.38,0.0
20230402:2330,0.0,0.0,0.0,0.0,0.0,21.03,1.24,0.0
20230403:0030,0.0,0.0,0.0,0.0,-5.48,20.43,1.03,0.0
20230403:0130,51.54,57.45,41.35,0.0,9.12,20.35,0.97,0.0
20230403:0230,246.48,235.5,93.5,0.0,23.76,21.73,0.76,0.0
20230403:0330,441.17,459.1,118.55,0.0,38.41,25.01,0.69,0.0
20230403:0430,540.01,577.65,151.65,0.0,53.01,27.94,0.41,0.0
20230403:0530,661.3,782.85,148.5,0.0,67.37,30.0,0.41,0.0
20230403:0630,651.46,749.0,177.3,0.0,80.31,31.91,0.41,0.0
20230403:0730,633.61,732.6,164.1,0.0,79.31,32.77,0.55,0.0
20230403:0830,537.14,543.45,202.95,0.0,66.05,33.71,0.62,0.0
20230403:0930,411.6,364.0,199.5,0.0,51.65,34.04,0.41,0.0
20230403:1030,252.5,227.45,118.15,0.0,37.05,34.04,0.21,0.0
20230403:1130,118.55,96.75,79.7,0.0,22.4,33.55,0.34,0.0
20230403:1230,24.54,29.25,29.4,0.0,7.76,32.92,1.17,0.0
20230403:1330,0.0,0.0,0.0,0.0,0.0,31.77,2.14,0.0
20230403:1430,0.0,0.0,0.0,0.0,0.0,29.7,2.62,0.0
20230403:1530,0.0,0.0,0.0,0.0,0.0,28.14,2.97,0.0
20230403:1630,0.0,0.0,0.0,0.0,0.0,26.54,3.17,0.0
20230403:1730,0.0,0.0,0.0,0.0,0.0,25.45,2.69,0.0
20230403:1830,0.0,0.0,0.0,0.0,0.0,24.69,2.0,0.0
20230403:1930,0.0,0.0,0.0,0.0,0.0,24.22,2.0,0.0
20230403:2030,0.0,0.0,0.0,0.0,0.0,23.63,1.72,0.0
20230403:2130,0.0,0.0,0.0,0.0,0.0,23.17,1.72,0.0
20230403:2230,0.0,0.0,0.0,0.0,0.0,22.64,1.59,0.0
20230403:2330,0.0,0.0,0.0,0.0,0.0,22.25,1.59,0.0
20230404:0030,0.0,0.0,0.0,0.0,-5.32,21.93,1.59,0.0
20230404:0130,40.65,37.75,40.85,0.0,9.27,21.81,1.45,0.0
20230404:0230,189.59,155.7,99.7,0.0,23.91,22.62,1.38,0.0
20230404:0330,356.43,336.15,123.35,0.0,38.57,24.72,1.24,0.0
20230404:0430,525.9,502.2,195.6,0.0,53.17,27.04,1.03,0.0
20230404:0530,616.77,663.0,178.5,0.0,67.57,29.22,1.03,0.0
20230404:0630,207.43,20.95,262.55,0.0,80.64,30.76,0.76,0.0
20230404:0730,138.64,14.1,178.8,0.0,79.5,28.64,0.9,0.0
20230404:0830,220.35,54.05,242.25,0.0,66.1,28.58,0.55,0.0
20230404:0930,96.42,8.6,131.5,0.0,51.66,29.15,0.83,0.0
20230404:1030,87.15,16.1,111.9,0.0,37.05,28.89,1.17,0.0
20230404:1130,78.82,49.5,70.35,0.0,22.4,28.88,1.59,0.0
20230404:1230,14.56,6.95,27.75,0.0,7.76,28.67,1.86,0.0
20230404:1330,0.0,0.0,0.0,0.0,0.0,28.03,1.59,0.0
20230404:1430,0.0,0.0,0.0,0.0,0.0,26.87,1.66,0.0
20230404:1530,0.0,0.0,0.0,0.0,0.0,25.84,1.79,0.0
20230404:1630,0.0,0.0,0.0,0.0,0.0,24.91,1.86,0.0
20230404:1730,0.0,0.0,0.0,0.0,0.0,24.31,1.86,0.0
20230404:1830,0.0,0.0,0.0,0.0,0.0,23.73,1.79,0.0
20230404:1930,0.0,0.0,0.0,0.0,0.0,23.55,1.38,0.0
20230404:2030,0.0,0.0,0.0,0.0,0.0,22.74,1.03,0.0
20230404:2130,0.0,0.0,0.0,0.0,0.0,22.42,0.97,0.0
20230404:2230,0.0,0.0,0.0,0.0,0.0,21.59,1.52,0.0
20230404:2330,0.0,0.0,0.0,0.0,0.0,21.46,1.72,0.0
20230405:0030,0.0,0.0,0.0,0.0,-5.16,21.3,1.52,0.0
20230405:0130,47.09,45.15,43.55,0.0,9.42,20.91,1.31,0.0
20230405:0230,223.65,195.55,105.15,0.0,24.06,23.09,0.62,0.0
20230405:0330,435.66,446.35,126.9,0.0,38.71,26.27,0.76,0.0
20230405:0430,571.75,626.05,149.3,0.0,53.33,28.5,0.69,0.0
20230405:0530,660.79,771.15,152.9,0.0,67.76,30.49,0.76,0.0
20230405:0630,592.15,582.95,232.1,0.0,80.96,32.07,1.24,0.0
20230405:0730,634.33,643.8,232.95,0.0,79.67,32.81,1.72,0.0
20230405:0830,567.32,569.3,206.0,0.0,66.14,33.7,1.86,0.0
20230405:0930,434.26,390.25,193.8,0.0,51.67,34.06,1.93,0.0
20230405:1030,253.89,220.5,122.55,0.0,37.05,33.75,1.72,0.0
20230405:1130,167.09,117.15,121.2,0.0,22.39,32.87,1.86,0.0
20230405:1230,27.33,26.6,34.75,0.0,7.76,32.12,2.14,0.0
20230405:1330,0.0,0.0,0.0,0.0,0.0,31.21,2.0,0.0
20230405:1430,0.0,0.0,0.0,0.0,0.0,29.71,2.34,0.0
20230405:1530,0.0,0.0,0.0,0.0,0.0,28.26,2.55,0.0
20230405:1630,0.0,0.0,0.0,0.0,0.0,27.1,2.34,0.0
20230405:1730,0.0,0.0,0.0,0.0,0.0,25.96,2.48,0.0
20230405:1830,0.0,0.0,0.0,0.0,0.0,25.06,2.62,0.0
20230405:1930,0.0,0.0,0.0,0.0,0.0,24.41,2.69,0.0
20230405:2030,0.0,0.0,0.0,0.0,0.0,23.6,2.69,0.0
20230405:2130,0.0,0.0,0.0,0.0,0.0,23.08,2.48,0.0
20230405:2230,0.0,0.0,0.0,0.0,0.0,22.65,2.0,0.0
20230405:2330,0.0,0.0,0.0,0.0,0.0,22.29,1.79,0.0
20230406:0030,0.0,0.0,0.0,0.0,-5.0,22.03,1.72,0.0
20230406:0130,53.57,54.45,45.3,0.0,9.57,21.7,1.52,0.0
20230406:0230,221.13,180.8,114.2,0.0,24.2,22.75,1.45,0.0
20230406:0330,376.2,280.85,208.7,0.0,38.86,25.1,1.03,0.0
20230406:0430,511.1,485.25,198.75,0.0,53.48,27.47,0.55,0.0
20230406:0530,648.63,731.8,180.8,0.0,67.94,29.54,0.28,0.0
20230406:0630,583.75,597.4,206.7,0.0,81.27,31.26,0.83,0.0
20230406:0730,474.76,440.7,195.2,0.0,79.84,31.9,1.45,0.0
20230406:0830,422.82,424.7,134.1,0.0,66.17,32.21,1.93,0.0
20230406:0930,386.49,365.55,145.65,0.0,51.68,32.42,2.07,0.0
20230406:1030,272.47,242.15,122.25,0.0,37.04,32.46,2.0,0.0
20230406:1130,162.48,134.8,97.35,0.0,22.39,32.21,2.28,0.0
20230406:1230,25.81,29.4,30.8,0.0,7.76,31.62,2.48,0.0
20230406:1330,0.0,0.0,0.0,0.0,0.0,30.35,1.86,0.0
20230406:1430,0.0,0.0,0.0,0.0,0.0,29.14,2.0,0.0
20230406:1530,0.0,0.0,0.0,0.0,0.0,28.04,2.28,0.0
20230406:1630,0.0,0.0,0.0,0.0,0.0,27.51,2.0,0.0
20230406:1730,0.0,0.0,0.0,0.0,0.0,26.88,1.72,0.0
20230406:1830,0.0,0.0,0.0,0.0,0.0,26.13,1.45,0.0
20230406:1930,0.0,0.0,0.0,0.0,0.0,24.92,1.45,0.0
20230406:2030,0.0,0.0,0.0,0.0,0.0,23.75,1.38,0.0
20230406:2130,0.0,0.0,0.0,0.0,0.0,23.16,1.45,0.0
20230406:2230,0.0,0.0,0.0,0.0,0.0,22.48,1.52,0.0
20230406:2330,0.0,0.0,0.0,0.0,0.0,21.71,1.45,0.0
20230407:0030,0.0,0.0,0.0,0.0,-4.84,21.42,1.17,0.0
20230407:0130,59.6,63.8,46.0,0.0,9.72,21.36,0.97,0.0
20230407:0230,256.06,252.8,89.9,0.0,24.35,22.86,0.62,0.0
20230407:0330,448.97,473.75,118.55,0.0,39.0,26.15,0.62,0.0
20230407:0430,590.25,658.15,137.35,0.0,53.63,28.33,1.1,0.0
20230407:0530,593.39,603.4,196.0,0.0,68.12,30.24,1.79,0.0
20230407:0630,615.93,608.0,220.45,0.0,81.58,31.5,2.69,0.0
20230407:0730,634.81,697.2,158.7,0.0,79.99,32.38,2.9,0.0
20230407:0830,562.28,589.5,160.05,0.0,66.2,33.15,3.31,0.0
20230407:0930,501.26,501.1,164.05,0.0,51.68,33.48,3.52,0.0
20230407:1030,334.64,336.6,106.55,0.0,37.04,33.51,3.86,0.0
20230407:1130,200.84,202.5,81.2,0.0,22.39,32.89,4.07,0.0
20230407:1230,32.08,44.4,30.4,0.0,7.77,31.9,4.14,0.0
20230407:1330,0.0,0.0,0.0,0.0,0.0,30.28,3.38,0.0
20230407:1430,0.0,0.0,0.0,0.0,0.0,28.79,3.03,0.0
20230407:1530,0.0,0.0,0.0,0.0,0.0,27.72,2.76,0.0
20230407:1630,0.0,0.0,0.0,0.0,0.0,26.84,2.55,0.0
20230407:1730,0.0,0.0,0.0,0.0,0.0,25.93,2.34,0.0
20230407:1830,0.0,0.0,0.0,0.0,0.0,25.23,2.14,0.0
20230407:1930,0.0,0.0,0.0,0.0,0.0,24.49,1.93,0.0
20230407:2030,0.0,0.0,0.0,0.0,0.0,23.55,1.86,0.0
20230407:2130,0.0,0.0,0.0,0.0,0.0,22.54,1.86,0.0
20230407:2230,0.0,0.0,0.0,0.0,0.0,21.69,1.72,0.0
20230407:2330,0.0,0.0,0.0,0.0,0.0,20.89,1.59,0.0
20230408:0030,0.0,0.0,0.0,0.0,-4.68,20.46,1.45,0.0
20230408:0130,63.66,69.4,46.35,0.0,9.87,20.39,1.24,0.0
20230408:0230,267.05,265.2,90.55,0.0,24.49,22.44,0.76,0.0
20230408:0330,460.48,486.0,115.65,0.0,39.14,26.28,1.45,0.0
20230408:0430,609.28,676.85,131.5,0.0,53.78,28.48,2.28,0.0
20230408:0530,707.21,810.85,144.4,0.0,68.29,30.47,2.97,0.0
20230408:0630,754.57,881.1,148.0,0.0,81.88,31.99,3.52,0.0
20230408:0730,753.36,879.5,144.65,0.0,80.13,33.11,4.21,0.0
20230408:0830,679.14,751.8,162.3,0.0,66.23,33.77,4.41,0.0
20230408:0930,587.03,648.75,132.6,0.0,51.68,34.12,4.55,0.0
20230408:1030,427.26,455.4,110.6,0.0,37.03,34.01,4.55,0.0
20230408:1130,220.12,227.4,82.65,0.0,22.38,33.46,4.41,0.0
20230408:1230,36.89,47.45,35.2,0.0,7.77,32.36,4.28,0.0
20230408:1330,0.0,0.0,0.0,0.0,0.0,30.56,3.52,0.0
20230408:1430,0.0,0.0,0.0,0.0,0.0,28.95,3.24,0.0
20230408:1530,0.0,0.0,0.0,0.0,0.0,27.7,3.17,0.0
20230408:1630,0.0,0.0,0.0,0.0,0.0,26.67,2.9,0.0
20230408:1730,0.0,0.0,0.0,0.0,0.0,25.8,2.69,0.0
20230408:1830,0.0,0.0,0.0,0.0,0.0,25.05,2.62,0.0
20230408:1930,0.0,0.0,0.0,0.0,0.0,24.37,2.34,0.0
20230408:2030,0.0,0.0,0.0,0.0,0.0,23.65,1.93,0.0
20230408:2130,0.0,0.0,0.0,0.0,0.0,22.52,1.52,0.0
20230408:2230,0.0,0.0,0.0,0.0,0.0,21.96,1.1,0.0
20230408:2330,0.0,0.0,0.0,0.0,0.0,22.19,0.9,0.0
20230409:0030,0.0,0.0,0.0,0.0,-4.53,22.22,0.69,0.0
20230409:0130,64.45,69.95,47.15,0.0,10.01,21.63,0.69,0.0
20230409:0230,269.48,266.5,91.1,0.0,24.62,21.6,0.62,0.0
20230409:0330,463.28,488.2,115.75,0.0,39.27,25.48,1.31,0.0
20230409:0430,609.18,681.8,131.1,0.0,53.92,27.55,1.59,0.0
20230409:0530,701.55,818.5,140.6,0.0,68.46,29.44,1.86,0.0
20230409:0630,741.09,881.3,145.35,0.0,82.17,31.07,2.14,0.0
20230409:0730,730.4,869.9,147.25,0.0,80.26,32.34,2.14,0.0
20230409:0830,674.95,794.95,137.15,0.0,66.24,33.28,2.21,0.0
20230409:0930,570.41,646.7,127.4,0.0,51.67,34.0,2.41,0.0
20230409:1030,413.21,443.35,110.85,0.0,37.02,34.09,2.69,0.0
20230409:1130,218.78,228.3,82.1,0.0,22.38,33.78,2.83,0.0
20230409:1230,35.65,46.8,34.1,0.0,7.77,32.92,2.97,0.0
20230409:1330,0.0,0.0,0.0,0.0,0.0,31.31,2.48,0.0
20230409:1430,0.0,0.0,0.0,0.0,0.0,29.58,2.76,0.0
20230409:1530,0.0,0.0,0.0,0.0,0.0,28.36,3.03,0.0
20230409:1630,0.0,0.0,0.0,0.0,0.0,27.4,2.97,0.0
20230409:1730,0.0,0.0,0.0,0.0,0.0,26.56,2.48,0.0
20230409:1830,0.0,0.0,0.0,0.0,0.0,25.53,1.86,0.0
20230409:1930,0.0,0.0,0.0,0.0,0.0,24.46,1.59,0.0
20230409:2030,0.0,0.0,0.0,0.0,0.0,23.29,1.31,0.0
20230409:2130,0.0,0.0,0.0,0.0,0.0,22.73,1.17,0.0
20230409:2230,0.0,0.0,0.0,0.0,0.0,21.81,1.38,0.0
20230409:2330,0.0,0.0,0.0,0.0,0.0,21.02,1.66,0.0
20230410:0030,0.0,0.0,0.0,0.0,-4.37,20.57,1.79,0.0
20230410:0130,65.75,70.1,47.55,0.0,10.15,20.27,1.86,0.0
20230410:0230,268.33,263.1,91.95,0.0,24.76,22.68,1.66,0.0
20230410:0330,464.6,481.65,117.15,0.0,39.41,25.52,2.34,0.0
20230410:0430,613.63,676.9,131.75,0.0,54.05,27.84,2.55,0.0
20230410:0530,709.31,815.8,140.8,0.0,68.62,30.16,2.97,0.0
20230410:0630,718.34,804.85,169.95,0.0,82.45,32.2,3.52,0.0
20230410:0730,683.31,759.55,165.6,0.0,80.38,33.27,3.66,0.0
20230410:0830,642.49,717.9,148.45,0.0,66.26,34.07,3.79,0.0
20230410:0930,528.34,559.35,143.75,0.0,51.67,34.44,4.0,0.0
20230410:1030,394.66,421.2,102.9,0.0,37.02,34.43,4.21,0.0
20230410:1130,208.37,211.35,83.55,0.0,22.37,33.94,4.41,0.0
20230410:1230,35.1,47.05,33.1,0.0,7.78,32.76,4.41,0.0
20230410:1330,0.0,0.0,0.0,0.0,0.0,30.92,3.79,0.0
20230410:1430,0.0,0.0,0.0,0.0,0.0,29.42,3.72,0.0
20230410:1530,0.0,0.0,0.0,0.0,0.0,28.29,3.59,0.0
20230410:1630,0.0,0.0,0.0,0.0,0.0,27.43,3.38,0.0
20230410:1730,0.0,0.0,0.0,0.0,0.0,26.65,3.1,0.0
20230410:1830,0.0,0.0,0.0,0.0,0.0,25.88,2.62,0.0
20230410:1930,0.0,0.0,0.0,0.0,0.0,25.21,2.07,0.0
20230410:2030,0.0,0.0,0.0,0.0,0.0,24.39,1.66,0.0
20230410:2130,0.0,0.0,0.0,0.0,0.0,23.22,1.31,0.0
20230410:2230,0.0,0.0,0.0,0.0,0.0,22.58,1.17,0.0
20230410:2330,0.0,0.0,0.0,0.0,0.0,22.4,1.03,0.0
20230411:0030,0.0,0.0,0.0,0.0,-4.22,22.11,0.97,0.0
20230411:0130,68.27,73.6,48.25,0.0,10.29,21.08,1.1,0.0
20230411:0230,273.75,271.5,91.75,0.0,24.89,22.51,0.97,0.0
20230411:0330,467.04,491.35,116.65,0.0,39.53,26.3,1.79,0.0
20230411:0430,614.42,683.2,132.45,0.0,54.19,28.61,2.34,0.0
20230411:0530,708.46,819.7,142.05,0.0,68.77,30.75,2.76,0.0
20230411:0630,753.28,892.35,144.35,0.0,82.71,32.5,3.1,0.0
20230411:0730,737.64,874.3,146.25,0.0,80.48,33.93,3.1,0.0
20230411:0830,666.52,763.75,147.7,0.0,66.27,34.76,3.31,0.0
20230411:0930,542.57,570.15,160.4,0.0,51.66,35.08,3.38,0.0
20230411:1030,403.07,425.25,114.85,0.0,37.01,35.1,3.45,0.0
20230411:1130,217.4,224.5,84.75,0.0,22.37,34.71,3.31,0.0
20230411:1230,35.57,48.85,32.95,0.0,7.78,33.8,3.17,0.0
20230411:1330,0.0,0.0,0.0,0.0,0.0,31.96,2.62,0.0
20230411:1430,0.0,0.0,0.0,0.0,0.0,29.99,2.76,0.0
20230411:1530,0.0,0.0,0.0,0.0,0.0,28.71,3.1,0.0
20230411:1630,0.0,0.0,0.0,0.0,0.0,27.92,2.9,0.0
20230411:1730,0.0,0.0,0.0,0.0,0.0,26.89,2.62,0.0
20230411:1830,0.0,0.0,0.0,0.0,0.0,25.91,2.14,0.0
20230411:1930,0.0,0.0,0.0,0.0,0.0,24.53,1.59,0.0
20230411:2030,0.0,0.0,0.0,0.0,0.0,24.24,0.9,0.0
20230411:2130,0.0,0.0,0.0,0.0,0.0,22.67,1.1,0.0
20230411:2230,0.0,0.0,0.0,0.0,0.0,21.05,1.31,0.0
20230411:2330,0.0,0.0,0.0,0.0,0.0,20.07,1.52,0.0
20230412:0030,0.0,0.0,0.0,0.0,-4.07,19.37,1.59,0.0
20230412:0130,72.53,78.45,48.6,0.0,10.43,18.91,1.52,0.0
20230412:0230,283.39,283.95,89.75,0.0,25.02,21.42,0.97,0.0
20230412:0330,467.32,504.2,114.6,0.0,39.66,26.04,0.48,0.0
20230412:0430,602.55,701.4,128.15,0.0,54.31,28.84,0.41,0.0
20230412:0530,697.75,839.8,136.65,0.0,68.91,31.14,1.24,0.0
20230412:0630,743.34,905.8,140.6,0.0,82.97,33.13,2.0,0.0
20230412:0730,740.55,894.2,142.25,0.0,80.57,34.57,2.69,0.0
20230412:0830,685.38,810.9,134.15,0.0,66.27,35.5,3.24,0.0
20230412:0930,583.41,666.25,123.6,0.0,51.65,35.86,3.66,0.0
20230412:1030,422.28,461.05,106.8,0.0,37.0,35.9,3.66,0.0
20230412:1130,221.09,232.95,82.35,0.0,22.36,35.54,3.66,0.0
20230412:1230,37.55,51.0,34.55,0.0,7.79,34.64,3.38,0.0
20230412:1330,0.0,0.0,0.0,0.0,0.0,32.64,2.69,0.0
20230412:1430,0.0,0.0,0.0,0.0,0.0,30.59,2.9,0.0
20230412:1530,0.0,0.0,0.0,0.0,0.0,29.1,3.03,0.0
20230412:1630,0.0,0.0,0.0,0.0,0.0,27.99,2.9,0.0
20230412:1730,0.0,0.0,0.0,0.0,0.0,26.96,2.55,0.0
20230412:1830,0.0,0.0,0.0,0.0,0.0,25.86,1.93,0.0
20230412:1930,0.0,0.0,0.0,0.0,0.0,24.24,1.24,0.0
20230412:2030,0.0,0.0,0.0,0.0,0.0,25.09,0.48,0.0
20230412:2130,0.0,0.0,0.0,0.0,0.0,23.73,0.83,0.0
20230412:2230,0.0,0.0,0.0,0.0,0.0,21.92,1.1,0.0
20230412:2330,0.0,0.0,0.0,0.0,0.0,20.84,1.1,0.0
20230413:0030,0.0,0.0,0.0,0.0,-3.92,20.38,1.1,0.0
20230413:0130,74.38,81.8,48.6,0.0,10.57,19.95,1.1,0.0
20230413:0230,284.88,290.05,88.55,0.0,25.15,22.43,0.55,0.0
20230413:0330,469.05,514.6,111.5,0.0,39.78,26.57,0.21,0.0
20230413:0430,609.95,708.35,126.0,0.0,54.43,29.73,0.97,0.0
20230413:0530,705.86,845.25,135.45,0.0,69.05,32.23,1.93,0.0
20230413:0630,754.95,911.85,139.85,0.0,83.21,34.1,2.97,0.0
20230413:0730,752.32,904.8,139.3,0.0,80.64,35.24,3.59,0.0
20230413:0830,695.71,820.6,134.1,0.0,66.27,36.06,4.0,0.0
20230413:0930,586.91,670.7,123.5,0.0,51.64,36.42,4.07,0.0
20230413:1030,426.95,467.85,107.05,0.0,36.98,36.45,3.93,0.0
20230413:1130,225.97,240.8,82.0,0.0,22.36,36.04,3.66,0.0
20230413:1230,37.93,51.85,34.65,0.0,7.79,35.03,3.24,0.0
20230413:1330,0.0,0.0,0.0,0.0,0.0,32.91,2.55,0.0
20230413:1430,0.0,0.0,0.0,0.0,0.0,30.7,2.9,0.0
20230413:1530,0.0,0.0,0.0,0.0,0.0,29.26,3.1,0.0
20230413:1630,0.0,0.0,0.0,0.0,0.0,28.07,2.76,0.0
20230413:1730,0.0,0.0,0.0,0.0,0.0,26.81,2.21,0.0
20230413:1830,0.0,0.0,0.0,0.0,0.0,25.41,2.69,0.0
20230413:1930,0.0,0.0,0.0,0.0,0.0,24.55,2.48,0.0
20230413:2030,0.0,0.0,0.0,0.0,0.0,23.59,2.41,0.0
20230413:2130,0.0,0.0,0.0,0.0,0.0,22.8,2.41,0.0
20230413:2230,0.0,0.0,0.0,0.0,0.0,22.29,2.21,0.0
20230413:2330,0.0,0.0,0.0,0.0,0.0,21.81,2.14,0.0
20230414:0030,0.0,0.0,0.0,0.0,-3.78,21.57,2.0,0.0
20230414:0130,68.05,62.95,54.7,0.0,10.7,21.38,1.79,0.0
20230414:0230,272.54,260.35,98.95,0.0,25.27,22.45,1.52,0.0
20230414:0330,465.91,491.65,117.35,0.0,39.9,25.51,1.1,0.0
20230414:0430,596.28,681.3,133.35,0.0,54.55,28.68,0.62,0.0
20230414:0530,666.31,811.8,147.3,0.0,69.18,31.34,0.07,0.0
20230414:0630,719.81,877.05,158.1,0.0,83.44,33.18,0.97,0.0
20230414:0730,724.56,881.2,150.75,0.0,80.7,34.44,1.66,0.0
